id,species,trial,opening,length,lighting,temp,degrees,emerge,retract
1,EV,1,5,6.5,LIGHT,COLD,9,199,
1,EV,2,5,6.5,DARK,COLD,11,189,
1,EV,3,5,6.5,LIGHT,WARM,18,29,0.834
1,EV,4,5,6.5,DARK,WARM,19,140,4.471
4,EV,1,5,7,LIGHT,COLD,9,45,0.1
4,EV,2,5,7,DARK,COLD,11,644,
4,EV,3,5,7,LIGHT,WARM,18,27,3.204
4,EV,4,5,7,DARK,WARM,19,249,2.102
5,EV,1,4,7,LIGHT,COLD,9,448,
5,EV,2,4,7,DARK,COLD,11,92,2.936
5,EV,3,4,7,LIGHT,WARM,18,132,1.568
5,EV,4,4,7,DARK,WARM,19,147,2.663
7,EV,1,8.5,12,LIGHT,COLD,9,56,2.069
7,EV,2,8.5,12,DARK,COLD,11,46,0.267
7,EV,3,8.5,12,LIGHT,WARM,18,66,5.572
7,EV,4,8.5,12,DARK,WARM,19,156,1.48
16,EV,1,9,26,DARK,COLD,9,157,0.2
16,EV,2,9,26,LIGHT,COLD,11,74,1.668
16,EV,3,9,26,DARK,WARM,19,110,1.302
16,EV,4,9,26,LIGHT,WARM,17,58,4.437
17,EV,1,7,14,DARK,COLD,9,29,0.2
17,EV,2,7,14,LIGHT,COLD,11,251,0.301
17,EV,3,7,14,DARK,WARM,19,173,1.001
17,EV,4,7,14,LIGHT,WARM,17,28,1.101
18,EV,1,1,10,DARK,COLD,9,138,0.434
18,EV,2,1,10,LIGHT,COLD,11,383,1.968
18,EV,3,1,10,DARK,WARM,19,85,2.002
18,EV,4,1,10,LIGHT,WARM,17,96,
19,EV,1,8,11.5,DARK,COLD,9,64,0.367
19,EV,2,8,11.5,LIGHT,COLD,11,78,5.506
19,EV,3,8,11.5,DARK,WARM,19,90,5.973
19,EV,4,8,11.5,LIGHT,WARM,17,16,1.301
23,EV,1,7,13,DARK,WARM,16,40,0.233
23,EV,2,7,13,LIGHT,WARM,18,33,
23,EV,3,7,13,DARK,COLD,12,76,0.5
23,EV,4,7,13,LIGHT,COLD,12,526,0.834
25,EV,1,2,5.6,DARK,WARM,16,58,0.201
25,EV,2,2,5.6,LIGHT,WARM,18,118,0.1
25,EV,3,2,5.6,DARK,COLD,12,33,0.167
25,EV,4,2,5.6,LIGHT,COLD,12,61,
26,EV,1,6,9,DARK,WARM,16,35,2.903
26,EV,2,6,9,LIGHT,WARM,18,58,
26,EV,3,6,9,DARK,COLD,12,72,3.27
26,EV,4,6,9,LIGHT,COLD,12,73,
27,EV,1,3,6.4,DARK,WARM,16,36,0.334
27,EV,2,3,6.4,LIGHT,WARM,18,35,0.3
27,EV,3,3,6.4,DARK,COLD,12,137,
27,EV,4,3,6.4,LIGHT,COLD,12,521,
2,SI,1,7,11,LIGHT,COLD,9,146,0.883
2,SI,2,7,11,DARK,COLD,11,600,
2,SI,3,7,11,LIGHT,WARM,18,75,0.534
2,SI,4,7,11,DARK,WARM,19,48,
3,SI,1,8,13,LIGHT,COLD,9,402,
3,SI,2,8,13,DARK,COLD,11,296,0.634
3,SI,3,8,13,LIGHT,WARM,18,353,
3,SI,4,8,13,DARK,WARM,19,320,
6,SI,1,2,5.3,LIGHT,COLD,9,152,0.734
6,SI,2,2,5.3,DARK,COLD,11,80,
6,SI,3,2,5.3,LIGHT,WARM,18,282,0.767
6,SI,4,2,5.3,DARK,WARM,19,240,
8,SI,1,3,9.5,LIGHT,WARM,16,118,0.767
8,SI,2,3,9.5,DARK,WARM,17,280,
8,SI,3,3,9.5,LIGHT,COLD,11,191,4.305
8,SI,4,3,9.5,DARK,COLD,11,578,
9,SI,1,3,12.4,LIGHT,WARM,16,139,0.968
9,SI,2,3,12.4,DARK,WARM,17,171,0.2
9,SI,3,3,12.4,LIGHT,COLD,11,719,0.067
9,SI,4,3,12.4,DARK,COLD,11,191,
10,SI,1,4,8.5,LIGHT,WARM,16,178,0.133
10,SI,2,4,8.5,DARK,WARM,17,133,0.134
10,SI,3,4,8.5,LIGHT,COLD,11,410,
10,SI,4,4,8.5,DARK,COLD,11,280,
11,SI,1,6,15.5,LIGHT,WARM,16,349,1.869
11,SI,2,6,15.5,DARK,WARM,17,298,0.133
11,SI,3,6,15.5,LIGHT,COLD,11,101,1.501
11,SI,4,6,15.5,DARK,COLD,11,83,2.136
12,SI,1,6,10,LIGHT,WARM,16,195,0.167
12,SI,2,6,10,DARK,WARM,17,237,0.201
12,SI,3,6,10,LIGHT,COLD,11,281,
12,SI,4,6,10,DARK,COLD,11,149,
13,SI,1,2,6.5,LIGHT,WARM,16,129,0.701
13,SI,2,2,6.5,DARK,WARM,17,134,
13,SI,3,2,6.5,LIGHT,COLD,11,490,
13,SI,4,2,6.5,DARK,COLD,11,375,
14,SI,1,1,6.4,LIGHT,WARM,16,143,0.834
14,SI,2,1,6.4,DARK,WARM,17,140,
14,SI,3,1,6.4,LIGHT,COLD,11,364,
14,SI,4,1,6.4,DARK,COLD,11,346,
15,SI,1,3.5,8.5,DARK,COLD,9,110,
15,SI,2,3.5,8.5,LIGHT,COLD,11,528,1.234
15,SI,3,3.5,8.5,DARK,WARM,19,112,0.634
15,SI,4,3.5,8.5,LIGHT,WARM,17,303,0.2
20,SI,1,3,7.8,DARK,COLD,9,134,
20,SI,2,3,7.8,LIGHT,COLD,11,270,0.767
20,SI,3,3,7.8,DARK,WARM,19,126,
20,SI,4,3,7.8,LIGHT,WARM,17,208,0.434
21,SI,1,6,7,DARK,COLD,9,192,
21,SI,2,6,7,LIGHT,COLD,11,250,
21,SI,3,6,7,DARK,WARM,19,89,1.302
21,SI,4,6,7,LIGHT,WARM,17,185,1.502
22,SI,1,3,7.5,DARK,WARM,16,112,0.967
22,SI,2,3,7.5,LIGHT,WARM,18,86,
22,SI,3,3,7.5,DARK,COLD,12,275,
22,SI,4,3,7.5,LIGHT,COLD,12,379,
24,SI,1,3,10.8,DARK,WARM,16,85,1.368
24,SI,2,3,10.8,LIGHT,WARM,18,104,
24,SI,3,3,10.8,DARK,COLD,12,273,
24,SI,4,3,10.8,LIGHT,COLD,12,174,
28,SI,1,4,10,DARK,WARM,16,842,
28,SI,2,4,10,LIGHT,WARM,18,367,
28,SI,3,4,10,DARK,COLD,12,469,
28,SI,4,4,10,LIGHT,COLD,12,209,
