Attribute,Attribute Description,,,,,,,,,
File Name,MIZ_2024_Worm_Data,,,,,,,,,
Authors,"Grundy, Finn; minna.grundy@ucalgary.ca
Terpsma, Lynndsay; lterpsma@student.ubc.ca
Pfuetnzer, Rhys; rhyspfuetzner@gmail.com",,,,,,,,,
Location,"Site X: Bamfield Marine Sciences Center South docks (48.83348°N, 125.13687°W) - East side of inlet
Site Y: Island Health Nurse’s Dock (48.82712°N, 125.13730°W) - East side of inlet
Site Z: West Government docks (48.82912°N, 125.14008°W) - West side of inlet
All sites are within the Bamfield Inlet",,,,,,,,,
Timeframe,July 20th to 26th 2024,,,,,,,,,
Collection Method,"Tube worms were gently peeled away from hummocks on lines hanging off the docks or the wood of the 
docks by hand to keep the tube and the worm intact and placed in a bucket with seawater to be transported 
back to the lab: The lines were kept out of the water for a maximum of 5 minutes and the water in the bucket 
was refreshed every 15 minutes",,,,,,,,,
Data description:,,,,,,,,,,
Dependent Variables,Re-emergence time,,,,,,,,,
Independent Variable,Turbidity,,,,,,,,,
Observational Unit,Time taken for worm to fully retract and time taken to fully re-emerge,,,,,,,,,
Replicates,"41 replicates for group A, 45 replicates for group B, 38 replicates for group D",,,,,,,,,
Data in columns:,,,,,,,,,,
Worm ID,"Code assigned to wach worm to specify its collection location, experimental group, and individual number",,,,,,,,,
Tube Length,Measured length of the tube in centimeters using a measuring tape,,,,,,,,,
Tube Diameter,Measured diameter of the opening of the tube in centimeters using a caliper,,,,,,,,,
Trial,The day on which the experiment took place,,,,,,,,,
CR_Time,The time in the video when all radioles of the worm are completely hidden within the tube of the worm: No radioles remain outside of the tube,,,,,,,,,
PR_Time,"The time in the video when radioles were retracted, but not completely within the tube (some are still visible)",,,,,,,,,
CE_Time,The time in the video when the entirety of the radioles have been re-exposed after retraction,,,,,,,,,
PE_Time,The time in the video when a partial amount of the radioles have been re-exposed after retraction,,,,,,,,,
HI,Worm was retracted in tube at the beginning of trials,,,,,,,,,
EX,Worm did not retract in response to stimuli at the beginning of the trial,,,,,,,,,
,,,,,,,,,,
Data in rows: ,Each worm is recorded in it's own row including all data in columns ,,,,,,,,,
,,,,,,,,,,
Notes:,"If more than 10 minutes were taken for an individual to re-emerge, they were assigned a time of 600 seconds
All worms were disturbed during testing, whether they were exposed or not. Specimens X4, X24, and X29 
were excluded as they were found to be a different species. ",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
testing_group,worm_code,trial ,tube_diameter_cm,CR_Time ,PR_Time,CE_Time,PE_Time,HI,EX,CR_CE_time
A1,Y13,1,0.67,27,,385,375,,,358
A1,Y17,1,0.96,27,,105,72,,,78
A1,Y21,1,0.81,27,,87,62,,,60
A1,Y26,1,0.73,,27,50,27,,,50
A1,Y28,1,0.61,27,,172,152,,,145
A1,Y32,1,0.85,,27,52,27,,,52
A1,Y33,1,0.44,,,,,,,600
A1,Y48,1,0.49,27,,,579,,,600
A1,Y5,1,0.57,,,,,,,600
A1,Y53,1,0.47,,,,,,,600
A1,Y68,1,0.87,27,,,,,,600
A1,Y71,1,0.41,27,,,,,,600
A1,Y76,1,0.63,,,,,HI,,600
A1,Y8,1,0.78,,27,,27,,,600
A1,Y9,1,0.91,,,,,,,600
A1,Z6,1,0.73,,,,,HI,,600
A1,Z8,1,0.56,,,,,HI,,600
A1,Y24,1,0.90,,,,,HI,,600
A1,X29,1,0.28,,,,,,,NA
A1,Y13,2,0.67,20,,,35,,,600
A1,Y17,2,0.96,,20,,,,,600
A1,Y21,2,0.81,20,,165,90,,,145
A1,Y26,2,0.73,20,,200,45,,,180
A1,Y28,2,0.61,,20,,,,,600
A1,Y32,2,0.85,20,,395,355,,,375
A1,Y33,2,0.44,20,,270,245,,,250
A1,Y48,2,0.49,20,,,,,,600
A1,Y5,2,0.57,20,,415,405,,,395
A1,Y53,2,0.47,20,,,,,,600
A1,Y68,2,0.87,20,,475,455,,,455
A1,Y71,2,0.41,20,,280,250,,,260
