trial,trt,site,indiv,CR_Time_s,PR_Time_s,CE_Time_s,PE_Time_s,HI,EX,CR_CE_time,tube_diameter_cm
1,control,island health dock,13,27,,385,375,,,358,0.67
1,control,island health dock,17,27,,105,72,,,78,0.96
1,control,island health dock,21,27,,87,62,,,60,0.81
1,control,island health dock,26,,27,50,27,,,50,0.73
1,control,island health dock,28,27,,172,152,,,145,0.61
1,control,island health dock,32,,27,52,27,,,52,0.85
1,control,island health dock,33,,,,,,,600,0.44
1,control,island health dock,48,27,,,579,,,600,0.49
1,control,island health dock,5,,,,,,,600,0.57
1,control,island health dock,53,,,,,,,600,0.47
1,control,island health dock,68,27,,,,,,600,0.87
1,control,island health dock,71,27,,,,,,600,0.41
1,control,island health dock,76,,,,,HI,,600,0.63
1,control,island health dock,8,,27,,27,,,600,0.78
1,control,island health dock,9,,,,,,,600,0.91
1,control,west gov't dock,6,,,,,HI,,600,0.73
1,control,west gov't dock,8,,,,,HI,,600,0.56
1,control,island health dock,24,,,,,HI,,600,0.9
1,control,bmsc south docks,29,,,,,,,NA,0.28
1,control,island health dock,13,20,,,35,,,600,0.67
1,control,island health dock,17,,20,,,,,600,0.96
1,control,island health dock,21,20,,165,90,,,145,0.81
1,control,island health dock,26,20,,200,45,,,180,0.73
1,control,island health dock,28,,20,,,,,600,0.61
1,control,island health dock,32,20,,395,355,,,375,0.85
1,control,island health dock,33,20,,270,245,,,250,0.44
1,control,island health dock,48,20,,,,,,600,0.49
1,control,island health dock,5,20,,415,405,,,395,0.57
1,control,island health dock,53,20,,,,,,600,0.47
1,control,island health dock,68,20,,475,455,,,455,0.87
1,control,island health dock,71,20,,280,250,,,260,0.41
1,control,island health dock,76,20,,475,,,,455,0.63
1,control,island health dock,8,20,,485,460,,,465,0.78
1,control,island health dock,9,,20,90,70,,,90,0.91
1,control,west gov't dock,6,20,,,,,,600,0.73
1,control,bmsc south docks,29,,,,,,,NA,0.28
1,control,island health dock,13,15,,345,315,,,330,0.67
1,control,island health dock,17,,15,125,75,,,125,0.96
1,control,island health dock,21,15,,615,455,,,600,0.81
1,control,island health dock,26,15,,370,340,,,355,0.73
1,control,island health dock,28,,15,40,25,,,40,0.61
1,control,island health dock,32,15,,325,290,,,310,0.85
1,control,island health dock,33,,,,,HI,,600,0.44
1,control,island health dock,48,,15,40,20,,,40,0.49
1,control,island health dock,5,,,,,,,600,0.57
1,control,island health dock,53,15,,215,145,,,200,0.47
1,control,island health dock,68,15,,575,545,,,560,0.87
1,control,island health dock,71,15,,65,30,,,50,0.41
1,control,island health dock,76,15,,605,520,,,590,0.63
1,control,island health dock,8,,15,45,20,,,45,0.78
1,control,island health dock,9,15,,545,505,,,530,0.91
1,control,west gov't dock,6,,,,,HI,,600,0.73
1,control,bmsc south docks,29,,,,,,,NA,0.28
1,control,island health dock,13,30,,455,440,,,425,0.67
1,control,island health dock,17,,30,140,,,,140,0.96
1,control,island health dock,21,,30,40,,,,40,0.81
1,control,island health dock,26,,30,80,,,,80,0.73
1,control,island health dock,28,30,,85,55,,,55,0.61
1,control,island health dock,32,30,,195,175,,,165,0.85
1,control,island health dock,33,30,,440,425,,,410,0.44
1,control,island health dock,48,30,,515,500,,,485,0.49
1,control,island health dock,5,30,,315,250,,,285,0.57
1,control,island health dock,53,,,,,HI,,0,0.47
1,control,island health dock,68,,,,,HI,,0,0.87
1,control,island health dock,71,30,,70,35,,,40,0.41
1,control,island health dock,76,30,,,320,,,600,0.63
1,control,island health dock,8,30,,400,380,,,370,0.78
